route,trip_id,Datetime,city,state,Latitude,Longitude
Dallas_Salt Lake City,Trip_1,2022-01-01 08:00:00.000000,Dallas,Texas,32.7935,-96.7667
Portland_Los Angeles,Trip_1,2022-01-01 08:00:00.000000,Portland,Oregon,45.5371,-122.65
San Francisco_Salt Lake City,Trip_1,2022-01-01 08:00:00.000000,San Francisco,California,37.7558,-122.4449
Phoenix_San Antonio,Trip_1,2022-01-01 08:00:00.000000,Phoenix,Arizona,33.5722,-112.0892
Chicago_Dallas,Trip_1,2022-01-01 08:00:00.000000,Chicago,Illinois,41.8375,-87.6866
San Francisco_Salt Lake City,Trip_1,2022-01-01 09:02:13.320442,Oakland,California,37.7904,-122.2166
Chicago_Dallas,Trip_1,2022-01-01 16:29:22.838336,Bloomington,Illinois,40.4757,-88.9703
Phoenix_San Antonio,Trip_1,2022-01-01 19:09:10.646694,Tucson,Arizona,32.1541,-110.8787
Dallas_Salt Lake City,Trip_1,2022-01-01 19:54:33.562134,Denton,Texas,33.2175,-97.1418
Portland_Los Angeles,Trip_1,2022-01-01 20:00:07.316711,Salem,Oregon,44.9233,-123.0244
San Francisco_Salt Lake City,Trip_1,2022-01-01 21:23:50.965286,Fairfield,California,38.2583,-122.0335
Chicago_Dallas,Trip_1,2022-01-02 02:00:21.921464,Springfield,Illinois,39.7709,-89.654
San Francisco_Salt Lake City,Trip_1,2022-01-02 03:55:51.720488,Vacaville,California,38.3587,-121.9673
Phoenix_San Antonio,Trip_1,2022-01-02 11:10:11.022396,Benson,Arizona,31.9157,-110.3257
San Francisco_Salt Lake City,Trip_1,2022-01-02 12:29:47.170195,Davis,California,38.5553,-121.737
Phoenix_San Antonio,Trip_1,2022-01-02 15:47:14.343926,Willcox,Arizona,32.2515,-109.8359
Portland_Los Angeles,Trip_1,2022-01-02 17:17:57.904570,Roseburg,Oregon,43.2231,-123.352
San Francisco_Salt Lake City,Trip_1,2022-01-02 17:19:16.911929,Sacramento,California,38.5677,-121.4685
Chicago_Dallas,Trip_1,2022-01-02 20:09:19.259543,St. Louis,Missouri,38.6359,-90.2451
San Francisco_Salt Lake City,Trip_1,2022-01-03 02:08:47.142087,Auburn,California,38.895,-121.0777
Dallas_Salt Lake City,Trip_1,2022-01-03 03:02:24.159694,Wichita,Kansas,37.6895,-97.3443
Phoenix_San Antonio,Trip_1,2022-01-03 03:35:28.637447,Lordsburg,New Mexico,32.3438,-108.7021
Portland_Los Angeles,Trip_1,2022-01-03 03:58:48.508788,Medford,Oregon,42.3372,-122.854
Portland_Los Angeles,Trip_1,2022-01-03 06:15:09.082494,Ashland,Oregon,42.1905,-122.6992
San Francisco_Salt Lake City,Trip_1,2022-01-03 08:29:37.420773,Truckee,California,39.3455,-120.1848
Phoenix_San Antonio,Trip_1,2022-01-03 11:01:02.154715,Deming,New Mexico,32.2631,-107.7525
Dallas_Salt Lake City,Trip_1,2022-01-03 15:47:46.590002,Salina,Kansas,38.8136,-97.6143
Portland_Los Angeles,Trip_1,2022-01-03 16:38:47.832121,Yreka,California,41.7291,-122.6312
Phoenix_San Antonio,Trip_1,2022-01-03 16:43:33.155795,Las Cruces,New Mexico,32.3265,-106.7893
San Francisco_Salt Lake City,Trip_1,2022-01-03 17:10:16.521298,Reno,Nevada,39.5497,-119.8483
San Francisco_Salt Lake City,Trip_1,2022-01-03 22:25:59.703604,Fernley,Nevada,39.5627,-119.1906
Chicago_Dallas,Trip_1,2022-01-04 03:11:10.886446,Springfield,Missouri,37.1943,-93.2916
Dallas_Salt Lake City,Trip_1,2022-01-04 08:30:36.781022,Hays,Kansas,38.8821,-99.3221
Phoenix_San Antonio,Trip_1,2022-01-04 11:12:25.077728,Van Horn,Texas,31.0407,-104.8341
Portland_Los Angeles,Trip_1,2022-01-04 11:47:52.726212,Redding,California,40.5698,-122.365
Chicago_Dallas,Trip_1,2022-01-04 19:04:50.407489,Joplin,Missouri,37.0757,-94.5018
San Francisco_Salt Lake City,Trip_1,2022-01-04 20:53:24.992709,Winnemucca,Nevada,40.9645,-117.7247
Phoenix_San Antonio,Trip_1,2022-01-04 23:36:08.501204,Fort Stockton,Texas,30.8926,-102.8842
Dallas_Salt Lake City,Trip_1,2022-01-05 01:11:14.240573,Colby,Kansas,39.3848,-101.0452
Portland_Los Angeles,Trip_1,2022-01-05 02:42:12.796334,Chico,California,39.7578,-121.8161
Chicago_Dallas,Trip_1,2022-01-05 03:00:23.784535,Tulsa,Oklahoma,36.1283,-95.9042
Phoenix_San Antonio,Trip_1,2022-01-05 11:06:41.486405,Ozona,Texas,30.7074,-101.206
San Francisco_Salt Lake City,Trip_1,2022-01-05 12:30:24.423172,Elko,Nevada,40.8381,-115.7678
Portland_Los Angeles,Trip_1,2022-01-05 15:07:33.117784,Sacramento,California,38.5677,-121.4685
San Francisco_Salt Lake City,Trip_1,2022-01-05 20:16:04.626878,Wendover,Utah,40.7241,-114.025
Phoenix_San Antonio,Trip_1,2022-01-05 20:29:45.864192,Sonora,Texas,30.5707,-100.6423
Chicago_Dallas,Trip_1,2022-01-05 21:29:54.355990,Oklahoma City,Oklahoma,35.4676,-97.5136
Dallas_Salt Lake City,Trip_1,2022-01-05 23:47:11.659718,Denver,Colorado,39.762,-104.8758
Portland_Los Angeles,Trip_1,2022-01-06 02:05:32.398661,Stockton,California,37.9765,-121.3109
San Francisco_Salt Lake City,Trip_1,2022-01-06 08:29:10.031095,Salt Lake City,Utah,40.7776,-111.9311
Dallas_Salt Lake City,Trip_1,2022-01-06 11:15:52.232158,Cheyenne,Wyoming,41.135,-104.7902
Chicago_Dallas,Trip_1,2022-01-06 11:27:44.908987,Denton,Texas,33.2175,-97.1418
Phoenix_San Antonio,Trip_1,2022-01-06 13:45:04.441747,Junction,Texas,30.4906,-99.7726
Chicago_Dallas,Trip_1,2022-01-06 15:06:26.702848,Dallas,Texas,32.7935,-96.7667
Chicago_Dallas,Trip_1,2022-01-06 15:45:23.135234,Dallas,Texas,32.7935,-96.7667
San Francisco_Salt Lake City,Trip_1,2022-01-06 17:57:53.477482,Salt Lake City,Utah,40.7776,-111.9311
Dallas_Salt Lake City,Trip_1,2022-01-07 00:48:46.174499,Laramie,Wyoming,41.3099,-105.6085
Chicago_Dallas,Trip_1,2022-01-07 00:51:43.942007,Denton,Texas,33.2175,-97.1418
Portland_Los Angeles,Trip_1,2022-01-07 02:43:46.984191,Merced,California,37.3057,-120.4779
Phoenix_San Antonio,Trip_1,2022-01-07 06:17:22.674613,Kerrville,Texas,30.0398,-99.132
San Francisco_Salt Lake City,Trip_1,2022-01-07 06:58:11.329757,Wendover,Utah,40.7241,-114.025
Phoenix_San Antonio,Trip_1,2022-01-07 11:15:10.715241,Boerne,Texas,29.7847,-98.7292
